[INFO] [2020-11-16 11:48:02,160] [6:139727353718592] - session_utils.py[line:68]: init detect table fate_flow_detect_table_namespace fate_flow_detect_table_name for session session_used_by_fate_flow_server_94c0481a280111eba403000c294e2eb2
[INFO] [2020-11-16 11:48:02,160] [6:139727353718592] - session_utils.py[line:69]: init session session_used_by_fate_flow_server_94c0481a280111eba403000c294e2eb2 for fate flow server successfully
[INFO] [2020-11-16 11:48:02,161] [6:139727353718592] - queue_manager.py[line:247]: init in-process queue
[INFO] [2020-11-16 11:49:17,516] [6:140332019005248] - db_models.py[line:56]: init sqlite database on standalone mode successfully
[INFO] [2020-11-16 11:49:18,099] [6:140332019005248] - session_utils.py[line:68]: init detect table fate_flow_detect_table_namespace fate_flow_detect_table_name for session session_used_by_fate_flow_server_c202f98a280111eb8a0c000c294e2eb2
[INFO] [2020-11-16 11:49:18,099] [6:140332019005248] - session_utils.py[line:69]: init session session_used_by_fate_flow_server_c202f98a280111eb8a0c000c294e2eb2 for fate flow server successfully
[INFO] [2020-11-16 11:49:18,100] [6:140332019005248] - queue_manager.py[line:247]: init in-process queue
[INFO] [2020-11-16 12:01:03,243] [6:140651253536576] - db_models.py[line:56]: init sqlite database on standalone mode successfully
[INFO] [2020-11-16 12:01:03,845] [6:140651253536576] - session_utils.py[line:68]: init detect table fate_flow_detect_table_namespace fate_flow_detect_table_name for session session_used_by_fate_flow_server_66a7ccb2280311eb92b6000c294e2eb2
[INFO] [2020-11-16 12:01:03,846] [6:140651253536576] - session_utils.py[line:69]: init session session_used_by_fate_flow_server_66a7ccb2280311eb92b6000c294e2eb2 for fate flow server successfully
[INFO] [2020-11-16 12:01:03,847] [6:140651253536576] - queue_manager.py[line:247]: init in-process queue
[INFO] [2020-11-16 12:02:54,551] [6:139623297460032] - db_models.py[line:56]: init sqlite database on standalone mode successfully
[INFO] [2020-11-16 12:02:55,052] [6:139623297460032] - session_utils.py[line:68]: init detect table fate_flow_detect_table_namespace fate_flow_detect_table_name for session session_used_by_fate_flow_server_a8f6c168280311ebac700242c0a86402
[INFO] [2020-11-16 12:02:55,053] [6:139623297460032] - session_utils.py[line:69]: init session session_used_by_fate_flow_server_a8f6c168280311ebac700242c0a86402 for fate flow server successfully
[INFO] [2020-11-16 12:02:55,054] [6:139623297460032] - queue_manager.py[line:247]: init in-process queue
